,국가,교통사고 사고건수(건),교통사고사망자(명),자동차1만대당 사망자,인구10만명당 사망자
0,그리스,10743,700,0.7,6.7
1,네덜랄드,0,678,0.6,4
2,노르웨이,0,108,0.3,2
3,뉴질랜드,11690,377,0.9,7.9
4,대한민국,217148,"3,781",1.4,7.3
5,덴마크,0,171,0.5,3
6,독일,308721,"3,275",0.6,3.9
7,라트비아,3073,151,,7.8
8,룩셈부르크,0,36,,6
9,리투아니아,2926,173,1.1,6.2
10,멕시코,0,,,
11,미국,0,"36,750",1.2,11.2
12,벨기에,38455,604,0.8,5.3
13,스웨덴,14233,324,0.5,3.2
14,스위스,18033,233,0.4,2.7
15,스페인,102299,"1,806",0.5,3.9
16,슬로바키아,5689,260,,4.8
17,슬로베니아,0,91,0.6,4.4
18,아이슬란드,868,18,0.5,5.3
19,아일랜드,0,143,0.5,3
20,에스토니아,1469,67,,5.1
21,영국,128207,"1,837",0.5,2.7
22,오스트리아,36846,409,0.6,4.6
23,이스라엘,12557,316,0.9,3.8
24,이탈리아,172344,"3,325",0.6,5.5
25,일본,430601,"4,166",0.5,3.3
26,체코,21889,656,0.9,6.2
27,칠레,0,"1,955",3.6,10.4
28,캐나다,0,"1,922",0.8,5.2
29,터키,186832,"6,675",,8.1
30,포르투갈,0,675,,6.6
31,폴란드,31674,"2,862",0.9,7.5
32,프랑스,55766,"3,248",0.7,5
33,핀란드,4288,234,0.5,4.2
34,헝가리,16951,633,1.4,6.5
35,호주,0,"1,136",0.6,4.6
