,도,시,16년_안전지수,17년_안전지수,18년_안전지수,19년_안전지수,4년평균_안전지수,순위
18,경기,가평군,78.7,77.7,77.6,77.2,77.8,16
33,경기,고양시,61.3,65.2,63.5,66.3,64.08,31
7,경기,과천시,83.0,82.3,81.4,82.1,82.2,5
10,경기,광명시,81.5,80.7,80.8,81.0,81.0,8
23,경기,광주시,75.3,74.0,74.8,74.6,74.68,21
6,경기,구리시,83.6,83.0,81.9,82.5,82.75,4
9,경기,군포시,81.9,80.9,81.1,81.2,81.28,7
25,경기,김포시,73.9,71.9,70.8,72.6,72.3,23
28,경기,남양주시,70.0,70.3,68.6,70.3,69.8,26
4,경기,동두천시,83.6,83.6,82.6,83.6,83.35,2
29,경기,부천시,69.9,68.8,68.5,69.7,69.22,27
26,경기,성남시,70.7,71.1,70.6,71.1,70.88,24
31,경기,수원시,68.7,68.7,67.5,68.7,68.4,29
24,경기,시흥시,75.3,72.3,73.9,74.0,73.88,22
30,경기,안산시,69.9,68.8,68.2,69.0,68.97,28
14,경기,안성시,80.1,79.4,78.7,79.8,79.5,12
21,경기,안양시,76.3,76.0,77.1,75.8,76.3,19
13,경기,양주시,80.4,79.8,80.0,80.0,80.05,11
8,경기,양평군,82.2,81.3,81.4,81.5,81.6,6
11,경기,여주시,81.2,80.4,80.7,80.8,80.78,9
3,경기,연천군,84.4,83.9,82.8,84.2,83.82,1
12,경기,오산시,80.5,80.2,80.5,80.7,80.47,10
32,경기,용인시,63.9,68.2,66.7,66.7,66.38,30
5,경기,의왕시,83.6,83.4,81.9,82.7,82.9,3
16,경기,의정부시,79.8,78.0,78.4,79.3,78.88,14
17,경기,이천시,79.1,77.7,78.1,78.8,78.42,15
22,경기,파주시,75.6,74.5,76.6,74.7,75.35,20
27,경기,평택시,70.2,71.0,70.3,70.5,70.5,25
19,경기,포천시,76.7,77.1,77.3,77.1,77.05,17
15,경기,하남시,80.0,78.3,78.5,79.7,79.12,13
20,경기,화성시,76.4,76.7,77.2,76.5,76.7,18
